English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
MARASMUS,"CALCARIA PHOSPHORICA  3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X  , NATRUM SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X MIX AND TAKE . ",,,"CALCARIA PHOSPHORICA  3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X  , NATRUM SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X MIX AND TAKE . ",Marasmus,"Calcaria Phosphorica  3X , Kali  Phosphorica 3X , Natrum Muriaticum 3X  , Natrum Sulphuricum 3X , Natrum Phosphoricum 3X , Silicea 12X Mix And Take . ","Calcaria Phosphorica 3X , Kali Phosphorica 3X , Natrum Muriaticum 3X , Natrum Sulphuricum 3X , Natrum Phosphoricum 3X , Silicea 12X Mix And Take ."
MASTITIS (SWOLLEN BREASTS),,,,"LAC CANINUM 5CH associated with PHYTOLACCA 5CH- 10 granules of each in a small quantity of water more times a day ,  until dissapearance. ",Mastitis (Swollen Breasts),"Lac Caninum 5Ch Associated With Phytolacca 5Ch- 10 Granules Of Each In A Small Quantity Of Water More Times A Day ,  Until Dissapearance. ","Lac Caninum 5Ch Associated With Phytolacca 5Ch- 10 Granules Of Each In A Small Quantity Of Water More Times A Day , Until Dissapearance."
MEASLES,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X CALCAREA PHOSPHORICA 3X SILICEA 12X ARSENICUM ALBUM 6 PULSATILLA 6 MIX AND GIVE AFTER 3-4 HOURS,,,FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X NATRUM MURIATICUM 3X CALCAREA PHOSPHORICA 3X SILICEA 12X ARSENICUM ALBUM 6 PULSATILLA 6 MIX AND GIVE AFTER 3-4 HOURS,Measles,Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Calcarea Phosphorica 3X Silicea 12X Arsenicum Album 6 Pulsatilla 6 Mix And Give After 3-4 Hours,Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum 3X Natrum Muriaticum 3X Calcarea Phosphorica 3X Silicea 12X Arsenicum Album 6 Pulsatilla 6 Mix And Give After 3-4 Hours
MEMORY DECREASE,,,,In case of memory decrease noticed after intellectual efforts  often accompanied by behavior disorders and a concentrating difficulty  you can take 3 granules of Phosphoric acid 5 CH  to suck  two times per day.  In case the memory decrease is characterized by inability to make an intellectual effort and forgetfulness of recent events  you can take  2 times per week  3 granules of one of the following remedies  each medication time - Kalium brom 9 CH  Kalium phos 9 CH  Lycopodium 9 CH or Anacardium 9 CH. ,Memory Decrease,In Case Of Memory Decrease Noticed After Intellectual Efforts  Often Accompanied By Behavior Disorders And A Concentrating Difficulty  You Can Take 3 Granules Of Phosphoric Acid 5 Ch  To Suck  Two Times Per Day.  In Case The Memory Decrease Is Characterized By Inability To Make An Intellectual Effort And Forgetfulness Of Recent Events  You Can Take  2 Times Per Week  3 Granules Of One Of The Following Remedies  Each Medication Time - Kalium Brom 9 Ch  Kalium Phos 9 Ch  Lycopodium 9 Ch Or Anacardium 9 Ch. ,In Case Of Memory Decrease Noticed After Intellectual Efforts Often Accompanied By Behavior Disorders And A Concentrating Difficulty You Can Take 3 Granules Of Phosphoric Acid 5 Ch To Suck Two Times Per Day. In Case The Memory Decrease Is Characterized By Inability To Make An Intellectual Effort And Forgetfulness Of Recent Events You Can Take 2 Times Per Week 3 Granules Of One Of The Following Remedies Each Medication Time - Kalium Brom 9 Ch Kalium Phos 9 Ch Lycopodium 9 Ch Or Anacardium 9 Ch.
MENINGITS,"CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X  , NATRUM SULPHURICUM 3X , SILICEA 12X MIX AND TAKE MANY TIMES A DAY. ",,,"CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X  , NATRUM SULPHURICUM 3X , SILICEA 12X MIX AND TAKE MANY TIMES A DAY. ",Meningitis,"Calcaria Phosphorica  3X Or 12X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali  Phosphorica 3X , Natrum Muriaticum 3X  , Natrum Sulphuricum 3X , Silicea 12X Mix And Take Many Times A Day. ","Calcaria Phosphorica 3X Or 12X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Phosphorica 3X , Natrum Muriaticum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take Many Times A Day."
MENOPAUSE,,,, If the goal is to alleviate hot flashes due to menopause  it is prescribed to take Ignatia Amara 9 CH in an amount of 3 granules per day during the first 3 months  then pass to 5 CH during the next months.  For solving grinding problems  it is prescribed to take 2 granules of Ignatia Amara 7 CH 3 times per day. ,Menopause, If The Goal Is To Alleviate Hot Flashes Due To Menopause  It Is Prescribed To Take Ignatia Amara 9 Ch In An Amount Of 3 Granules Per Day During The First 3 Months  Then Pass To 5 Ch During The Next Months.  For Solving Grinding Problems  It Is Prescribed To Take 2 Granules Of Ignatia Amara 7 Ch 3 Times Per Day. ,If The Goal Is To Alleviate Hot Flashes Due To Menopause It Is Prescribed To Take Ignatia Amara 9 Ch In An Amount Of 3 Granules Per Day During The First 3 Months Then Pass To 5 Ch During The Next Months. For Solving Grinding Problems It Is Prescribed To Take 2 Granules Of Ignatia Amara 7 Ch 3 Times Per Day.
MENSES SCANTY OR SUPPRESSED,"CALCARIA PHOSPHORICA  3X OR 12X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X MIX AND TAKE 3 TIMES FOR A WEEK. ",,,"CALCARIA PHOSPHORICA  3X OR 12X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X MIX AND TAKE 3 TIMES FOR A WEEK. ",Menses Scanty Or Suppressed,"Calcaria Phosphorica  3X Or 12X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Natrum Muriaticum 3X , Silicea 12X Mix And Take 3 Times For A Week. ","Calcaria Phosphorica 3X Or 12X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Natrum Muriaticum 3X , Silicea 12X Mix And Take 3 Times For A Week."
MENSTRUATION DISORDERS,,,,Sensation of heaviness backwards - Belladona 7CH.  Pains aggravated by shaking - Belladona 7CH.  Pains in the right ovary  Belladona 7CH.  Pains in the left ovary - Lachesis 7CH.  Pains irradiating in all directions - Caulophyllum 7CH.  Intolerable pains - Chamomilla 9CH.   Pains in the thighs  sacrum and pubis - Sabina 7CH.  In the back - Senecio 9CH.  With cold sweats - Veratrum Album 9CH.  ,Menstruation Disorders,Sensation Of Heaviness Backwards - Belladona 7Ch.  Pains Aggravated By Shaking - Belladona 7Ch.  Pains In The Right Ovary  Belladona 7Ch.  Pains In The Left Ovary - Lachesis 7Ch.  Pains Irradiating In All Directions - Caulophyllum 7Ch.  Intolerable Pains - Chamomilla 9Ch.   Pains In The Thighs  Sacrum And Pubis - Sabina 7Ch.  In The Back - Senecio 9Ch.  With Cold Sweats - Veratrum Album 9Ch.  ,Sensation Of Heaviness Backwards - Belladona 7Ch. Pains Aggravated By Shaking - Belladona 7Ch. Pains In The Right Ovary Belladona 7Ch. Pains In The Left Ovary - Lachesis 7Ch. Pains Irradiating In All Directions - Caulophyllum 7Ch. Intolerable Pains - Chamomilla 9Ch. Pains In The Thighs Sacrum And Pubis - Sabina 7Ch. In The Back - Senecio 9Ch. With Cold Sweats - Veratrum Album 9Ch.
MENTAL ANXIETY,,,,In a background treatment  without physical symptoms  it is prescribed Gelsenium 9 CH or Aconit 7 CH.  Ignatia Amara in the event of anxiety caused by grief or annoyance.  For treating anxiety caused by an excessive shyness  it is suitable to take Ambra Grisea 15 CH. Arsenicum Album 15 CH is  in his opinion  recommended for subjects of pessimistic nature with fear of an upcoming event and for those who fear night and solitude.  Borax is indicated for naturally anxious people who are particularly afraid of descents and stairs.  To help women reduce their fear during pregnancy and during childbirth  Actaea Racemosa is recommended. ,Mental Anxiety,In A Background Treatment  Without Physical Symptoms  It Is Prescribed Gelsenium 9 Ch Or Aconit 7 Ch.  Ignatia Amara In The Event Of Anxiety Caused By Grief Or Annoyance.  For Treating Anxiety Caused By An Excessive Shyness  It Is Suitable To Take Ambra Grisea 15 Ch. Arsenicum Album 15 Ch Is  In His Opinion  Recommended For Subjects Of Pessimistic Nature With Fear Of An Upcoming Event And For Those Who Fear Night And Solitude.  Borax Is Indicated For Naturally Anxious People Who Are Particularly Afraid Of Descents And Stairs.  To Help Women Reduce Their Fear During Pregnancy And During Childbirth  Actaea Racemosa Is Recommended. ,In A Background Treatment Without Physical Symptoms It Is Prescribed Gelsenium 9 Ch Or Aconit 7 Ch. Ignatia Amara In The Event Of Anxiety Caused By Grief Or Annoyance. For Treating Anxiety Caused By An Excessive Shyness It Is Suitable To Take Ambra Grisea 15 Ch. Arsenicum Album 15 Ch Is In His Opinion Recommended For Subjects Of Pessimistic Nature With Fear Of An Upcoming Event And For Those Who Fear Night And Solitude. Borax Is Indicated For Naturally Anxious People Who Are Particularly Afraid Of Descents And Stairs. To Help Women Reduce Their Fear During Pregnancy And During Childbirth Actaea Racemosa Is Recommended.
MILK CRUSTS,,,,"Yellowish ,  thick crusts localized in the scalp or the eyebrows. Chalcarea Carbonica 9CHHepar Sulfuris Calcareum 9 CHGive 3 granules of each medicine ,  crushed in a clean cloth with a rolling pin ,  and put  the obtained powder on the the baby\u2019s tongue ,  3 times per day (in the morning ,  at lunchtime and in the evening) ,  until healing.  Red buttocksThe buttocks and the folds of the groin are red.  The skin may be cracked and oozing. Belladonna 9 CHHepar Sulfuris Calcareum 9 CHMeddorrhinum 9 CHGive 3 granules of each medicine ,  crushed in a clean cloth with a rolling pin ,  and put  the obtained powder on the baby\u2019s tongue ,  3 times per day (in the morning ,  at lunchtime and in the evening) ,  until healing. ",Milk Crusts,"Yellowish ,  Thick Crusts Localized In The Scalp Or The Eyebrows. Chalcarea Carbonica 9Chhepar Sulfuris Calcareum 9 Chgive 3 Granules Of Each Medicine ,  Crushed In A Clean Cloth With A Rolling Pin ,  And Put  The Obtained Powder On The The Baby\U2019S Tongue ,  3 Times Per Day (In The Morning ,  At Lunchtime And In The Evening) ,  Until Healing.  Red Buttocksthe Buttocks And The Folds Of The Groin Are Red.  The Skin May Be Cracked And Oozing. Belladonna 9 Chhepar Sulfuris Calcareum 9 Chmeddorrhinum 9 Chgive 3 Granules Of Each Medicine ,  Crushed In A Clean Cloth With A Rolling Pin ,  And Put  The Obtained Powder On The Baby\U2019S Tongue ,  3 Times Per Day (In The Morning ,  At Lunchtime And In The Evening) ,  Until Healing. ","Yellowish , Thick Crusts Localized In The Scalp Or The Eyebrows. Chalcarea Carbonica 9Chhepar Sulfuris Calcareum 9 Chgive 3 Granules Of Each Medicine , Crushed In A Clean Cloth With A Rolling Pin , And Put The Obtained Powder On The The Baby\U2019S Tongue , 3 Times Per Day (In The Morning , At Lunchtime And In The Evening) , Until Healing. Red Buttocksthe Buttocks And The Folds Of The Groin Are Red. The Skin May Be Cracked And Oozing. Belladonna 9 Chhepar Sulfuris Calcareum 9 Chmeddorrhinum 9 Chgive 3 Granules Of Each Medicine , Crushed In A Clean Cloth With A Rolling Pin , And Put The Obtained Powder On The Baby\U2019S Tongue , 3 Times Per Day (In The Morning , At Lunchtime And In The Evening) , Until Healing."
MISCHIEVOUSNESS,NATRUM MURIATICUM 200X ONE TABLET FOR A WEEK AT 6-00 P. M. ,,,NATRUM MURIATICUM 200X ONE TABLET FOR A WEEK AT 6-00 P. M. ,Mischievousness,Natrum Muriaticum 200X One Tablet For A Week At 6-00 P. M. ,Natrum Muriaticum 200X One Tablet For A Week At 6-00 P. M.
MOTHER'S MILK TO DECREASE,CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,,,CALCARIA FLOURIDE 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X MIX AND TAKE ,Mother's Milk To Decrease,Calcaria Flouride 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Mix And Take ,Calcaria Flouride 3X Natrum Muriaticum 3X Natrum Sulphuricum 3X Mix And Take
MOTION SICKNESS,,,,Need of air - Tabacum 5CH  one granule hourly during the travelDizziness or vomiting - Cocculus 5CH  one granule hourly during the travelSea sick - Ignatia 9CH  one dose  4 days before leaving,Motion Sickness,Need Of Air - Tabacum 5Ch  One Granule Hourly During The Traveldizziness Or Vomiting - Cocculus 5Ch  One Granule Hourly During The Travelsea Sick - Ignatia 9Ch  One Dose  4 Days Before Leaving,Need Of Air - Tabacum 5Ch One Granule Hourly During The Traveldizziness Or Vomiting - Cocculus 5Ch One Granule Hourly During The Travelsea Sick - Ignatia 9Ch One Dose 4 Days Before Leaving
MOUTH ULCER,,,,"Children sometimes have painful thrush.  They have to take Borax 5CH in an amount of 2 granules ,  3 times per day ,  until symptoms dissapear. ",Mouth Ulcer,"Children Sometimes Have Painful Thrush.  They Have To Take Borax 5Ch In An Amount Of 2 Granules ,  3 Times Per Day ,  Until Symptoms Dissapear. ","Children Sometimes Have Painful Thrush. They Have To Take Borax 5Ch In An Amount Of 2 Granules , 3 Times Per Day , Until Symptoms Dissapear."
MUCOPURULENT NOSE FLOW,,,,"NATRUM MURIATICUM 5CH - nose flow and tearing as the egg white ,  asthma after physical effort or when the child plays a lot.  PULSATILLA 5CH - non-irritating ,  yellowish ,  thick nose flow with the lost of taste and odor ,  aggravated within warm rooms and improved in open air.  MERCURIUS SOLUBILIS 5CH - irritating ,  smelly ,  yellow-green nose flow ,  with white tongue keeping the teeth mark ,  with tendency towards repeated ENT disorders.  KALIUM BICHROMICUM 5CH - irritating greenish nose flow ,  dripping ,  with formation of plugs ,  green brown crusts in the nose ,  sometimes with bloody drippings and sinuses pains.  HYDRASTIS CANADENSIS 5CH - yellowish thick mucus ,  very adherent ,  forming plugs with flow through posterior nose pits.  ARUM TRIPHYLLUM 5CH - fluent coryza with nose flow excoriating nostrils and the upper lip ,  the child constantly scratching the nose interior. ",Mucopurulent Nose Flow,"Natrum Muriaticum 5Ch - Nose Flow And Tearing As The Egg White ,  Asthma After Physical Effort Or When The Child Plays A Lot.  Pulsatilla 5Ch - Non-Irritating ,  Yellowish ,  Thick Nose Flow With The Lost Of Taste And Odor ,  Aggravated Within Warm Rooms And Improved In Open Air.  Mercurius Solubilis 5Ch - Irritating ,  Smelly ,  Yellow-Green Nose Flow ,  With White Tongue Keeping The Teeth Mark ,  With Tendency Towards Repeated Ent Disorders.  Kalium Bichromicum 5Ch - Irritating Greenish Nose Flow ,  Dripping ,  With Formation Of Plugs ,  Green Brown Crusts In The Nose ,  Sometimes With Bloody Drippings And Sinuses Pains.  Hydrastis Canadensis 5Ch - Yellowish Thick Mucus ,  Very Adherent ,  Forming Plugs With Flow Through Posterior Nose Pits.  Arum Triphyllum 5Ch - Fluent Coryza With Nose Flow Excoriating Nostrils And The Upper Lip ,  The Child Constantly Scratching The Nose Interior. ","Natrum Muriaticum 5Ch - Nose Flow And Tearing As The Egg White , Asthma After Physical Effort Or When The Child Plays A Lot. Pulsatilla 5Ch - Non-Irritating , Yellowish , Thick Nose Flow With The Lost Of Taste And Odor , Aggravated Within Warm Rooms And Improved In Open Air. Mercurius Solubilis 5Ch - Irritating , Smelly , Yellow-Green Nose Flow , With White Tongue Keeping The Teeth Mark , With Tendency Towards Repeated Ent Disorders. Kalium Bichromicum 5Ch - Irritating Greenish Nose Flow , Dripping , With Formation Of Plugs , Green Brown Crusts In The Nose , Sometimes With Bloody Drippings And Sinuses Pains. Hydrastis Canadensis 5Ch - Yellowish Thick Mucus , Very Adherent , Forming Plugs With Flow Through Posterior Nose Pits. Arum Triphyllum 5Ch - Fluent Coryza With Nose Flow Excoriating Nostrils And The Upper Lip , The Child Constantly Scratching The Nose Interior."
MUMPS,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X  , NATRUM SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , MAGNESIA PHOSPHORICA 12X , SILICEA 12X MIX AND TAKE  AFTER 2-3 HOURS IF REMEDY FAILS TRY REMEDY 2. ","CALCARIA SULPHURICUM 3X  , KALI SULPHURICUM 3X MIX AND TAKE. ",,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , KALI  PHOSPHORICA 3X , NATRUM MURIATICUM 3X  , NATRUM SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , MAGNESIA PHOSPHORICA 12X , SILICEA 12X MIX AND TAKE  AFTER 2-3 HOURS IF REMEDY FAILS TRY REMEDY 2.  , CALCARIA SULPHURICUM 3X  , KALI SULPHURICUM 3X MIX AND TAKE.  , ",Mump,"Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali  Phosphorica 3X , Natrum Muriaticum 3X  , Natrum Sulphuricum 3X , Natrum Phosphoricum 3X , Magnesia Phosphorica 12X , Silicea 12X Mix And Take  After 2-3 Hours If Remedy Fails Try Remedy 2.  , Calcaria Sulphuricum 3X  , Kali Sulphuricum 3X Mix And Take.  , ","Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Kali Phosphorica 3X , Natrum Muriaticum 3X , Natrum Sulphuricum 3X , Natrum Phosphoricum 3X , Magnesia Phosphorica 12X , Silicea 12X Mix And Take After 2-3 Hours If Remedy Fails Try Remedy 2. , Calcaria Sulphuricum 3X , Kali Sulphuricum 3X Mix And Take. ,"
MUMPS,,,,"3 granules hourly ,  alternatively - Mercurius Solubilis 5 CH ,  Belladonna 5CH.  On Sunday evening ,  Pulsatilla 9CH 10 granules (avoide complications). Invasion period - Ferrum phosphoricum 9CH ,  1 dose  Affection - Mercurius solubilis 7CH ,  5 granules ,  2 times per day  Complications - Pulsatilla 15CH 5 granules ,  3 times per day.  During convalescence - 1 dose of Sulfur 9CH to purify toxins.  As a precaution in case of epidemic - 3 granules at wake-up Jaborandi 5CH.  3 granules at bedtime - Trifolium pratense 5CH. ",Mumps,"3 Granules Hourly ,  Alternatively - Mercurius Solubilis 5 Ch ,  Belladonna 5Ch.  On Sunday Evening ,  Pulsatilla 9Ch 10 Granules (Avoide Complications). Invasion Period - Ferrum Phosphoricum 9Ch ,  1 Dose  Affection - Mercurius Solubilis 7Ch ,  5 Granules ,  2 Times Per Day  Complications - Pulsatilla 15Ch 5 Granules ,  3 Times Per Day.  During Convalescence - 1 Dose Of Sulfur 9Ch To Purify Toxins.  As A Precaution In Case Of Epidemic - 3 Granules At Wake-Up Jaborandi 5Ch.  3 Granules At Bedtime - Trifolium Pratense 5Ch. ","3 Granules Hourly , Alternatively - Mercurius Solubilis 5 Ch , Belladonna 5Ch. On Sunday Evening , Pulsatilla 9Ch 10 Granules (Avoide Complications). Invasion Period - Ferrum Phosphoricum 9Ch , 1 Dose Affection - Mercurius Solubilis 7Ch , 5 Granules , 2 Times Per Day Complications - Pulsatilla 15Ch 5 Granules , 3 Times Per Day. During Convalescence - 1 Dose Of Sulfur 9Ch To Purify Toxins. As A Precaution In Case Of Epidemic - 3 Granules At Wake-Up Jaborandi 5Ch. 3 Granules At Bedtime - Trifolium Pratense 5Ch."
