English,Remedy_1,Remedy_2,Remedy_3,Remedy
NEURASTHANIA-NERVOUS BREAK DOWN,"CALCARIA PHOSPHORICA  12X,MAGNESIA PHOSPHORICA 12X,KALI  PHOSPHORICA 12X,FERRUM PHOSPHORICUM 12X,NATRUM MURIATICUM 12X,NATRUM PHOSPHORICUM 12X,SILICEA 12X MIX AND TAKE 3 TIMES A DAY.",,,"CALCARIA PHOSPHORICA  12X,MAGNESIA PHOSPHORICA 12X,KALI  PHOSPHORICA 12X,FERRUM PHOSPHORICUM 12X,NATRUM MURIATICUM 12X,NATRUM PHOSPHORICUM 12X,SILICEA 12X MIX AND TAKE 3 TIMES A DAY."
NEURITIS,"FERRUM PHOSPHORICUM 12X,CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 6X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE IN VERY HOT WATER.",,,"FERRUM PHOSPHORICUM 12X,CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 6X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE IN VERY HOT WATER."
NIGHT ANXIETY,,,,Certain patients lead a normal life during daytime  but once they fall asleep  their anxiety comes out  it is revealed by very agitated nights. This type of night anxiety is treated with Spongia Tosta. In case the night anxiety occurs before the menstruation  the woman patient will be treated with Digitalis. Those who experience this type of anxiety because of work stress  will rather take Nux Vomica for enjoying a peaceful sleep  but also for being selfconfident during daytime.
NIGHT BLINDNES,"SILICEA 12X, NATRUM MURIATICUM 3X MIX AND TAKE",,,"SILICEA 12X, NATRUM MURIATICUM 3X MIX AND TAKE"
NIGHT TERROR,,,,Homeopathy is an efficient and simple way of treating child\u2019s night terrors. Stramonium is one of the advised remedies  in an amount of a few granules before bedtime for allowing the subject to have a good sleep. Arsenic album is also an efficient remedy against night agitation and anxiety  just like Coffea.Otherwise  sleep schedules should be established in order to help the child fall asleep  to remember the bedtime and the naptime. It is preferable not to let the child watch TV before falling asleep for avoiding any kind of excitement.
NIGHT WAKE-UPS,,,,"CHAMOMILLA 9CH : wake-ups before midnight BELLADONNA 9CH : insomnia with great desire to fall asleep, muscle twitching while falling asleep or during sleep. ACONIT 9CH : anxious agitation around 11 pm  ARSENICUM ALBUM 9CH : anxious between 1 and 3 am, fear of the night. IGNATIA 9CH : after experiencing annoyance or death COLOCYNTHIS 9CH : after anger BORAX 9CH : sensory excitement ZINCUM 9CH : hypersensitivity to noises LUESINUM 9CH : fear of the night STRAMONIUM 9CH : fear of the dark, subject of nightmares NUX VOMICA 9CH : wake-up at 4 o\u2019clock in the morning, goes back to sleep around 6 am. <i>DOLISOS laboratories created a pediatric range of 4 syrups to relieve our little ones. Each syrup is a mix of ingredients that aim to relieve the full range of symptoms, no matter how different they are from one child to the another :</i> NUXIL : for relieving the baby\u2019s colics DROSETUX for calming cough CONSOLIN for relieving the pains of dental eruptions. SERINOL for calming agitation and favouring sleep"
NOSE STUFFED UP,"CALCARIA FLOURIDE 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X IF REMEDY FAILS TRY REMEDY 2.",NUXVOMICA-6 AT NIGHT  OR 3:00 P.M.,,"CALCARIA FLOURIDE 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X IF REMEDY FAILS TRY REMEDY 2.,NUXVOMICA-6 AT NIGHT  OR 3:00 P.M.,"
OBESITY,"CALCARIA PHOSPHORICA  3X OR 12X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX AND TAKE FOR MANY DAYS DAY . AFTER TWO WEEKS TAKE KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X AFTER FEW DAYS AGAIN TAKE CALCARIA PHOSPHORICA  3X OR 12X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X.",,,"CALCARIA PHOSPHORICA  3X OR 12X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X MIX AND TAKE FOR MANY DAYS DAY . AFTER TWO WEEKS TAKE KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X AFTER FEW DAYS AGAIN TAKE CALCARIA PHOSPHORICA  3X OR 12X,KALI  PHOSPHORICA 3X,NATRUM MURIATICUM 3X,SILICEA 12X."
OBESITY,,,,For moderating appetite :At wake-up : Nux Vomica 5CH + before meals. At bedtime : Graphites 9CH. On Sunday 1 dose Natrum Sulf. 15CH. On Thursday evening 1 dose Thuya 15CH  during several months. 
OBSTINACY IN CHILDREN TO REMOVE,GIVE 3-4 DOSES OF SILICEA 200X AT THE GAP OF 15-15 DAYS,,,GIVE 3-4 DOSES OF SILICEA 200X AT THE GAP OF 15-15 DAYS
OOZING ECZEMA,,,,"CROTO TIGLIUM 5CH : vesicular eruptions covered with yellowish crusts, intense itching and painful scraping (genital organs) DULCAMARA 5CH : wet, easily bleeding, crusted eruptions, the skin is very red. lesions aggravated by humidity. GRAPHITES 5CH : dry skin with formation of vesicles, then of crusts allowing a viscous thick liquid to ooze from, causing yellow-brown crusts, (folds of flexures, armpits, popliteal cavities, corners of the mouth and the eyes behind ears and sometimes the scalp.) HEPAR SULFUR 7CH : eczema with ulceration, lesions are very sensitive when touched, get easily overinfected allowing a fetid pus to ooze from, of characteristic odor, they can easily bleed, the skin has a dirty, unhealthy appearance. LAPPA MAJOR 5CH : bad smelling eczema forming white-gray crusts. MEZEREUM 5CH : vesicular eruptions with formation of whitish crusts under which there is a thick yellow irritating pus of bad smell, important itching which changes place with scraping. NATRUM SULFURICUM 5CH : large yellow scales on a red shiny skin, intense itching when getting clothes off. OLEANDER 5CH : eruptions with burning itching, temporarily improved by scraping, (behind head, ears, around scalp) RHUS TOX. 5CH : red skin with small white vesicles containing a clear liquid, burning pains with intense itching not improved by scraping, but relieved by hot applications. STAPHYSAGRIA 5CH : crusty oozing eczema with itching easily changing place especially after anger or return of troubles (the head, the ears, around the eyes) VIOLA TRICOLOR 5CH : crusts with burning itching especially at night, allowing a yellowish liquid to flow out (scalp : milk crusts)"
OPIUM HABIT,"KALI  PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X,MIX AND TAKE  4 TIMES A DAY.",,,"KALI  PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X,MIX AND TAKE  4 TIMES A DAY."
ORCHITIS,"FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,CALCARIA PHOSPHORICA  3X OR 12XCALCARIA FLOURIDE 3X,MAGNESIA PHOSPHORICA 3X,SILICEA 12X MIX AND TAKE. IF REMEDY FAILS TRY REMEDY 2.","NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,CALCARIA PHOSPHORICA  3X OR 12XCALCARIA FLOURIDE 3X,MAGNESIA PHOSPHORICA 3X,SILICEA 12X MIX AND TAKE.",,"FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,CALCARIA PHOSPHORICA  3X OR 12XCALCARIA FLOURIDE 3X,MAGNESIA PHOSPHORICA 3X,SILICEA 12X MIX AND TAKE. IF REMEDY FAILS TRY REMEDY 2.,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,CALCARIA PHOSPHORICA  3X OR 12XCALCARIA FLOURIDE 3X,MAGNESIA PHOSPHORICA 3X,SILICEA 12X MIX AND TAKE.,"
OTITIS,,,,"For treating a brutal otitis occurrence :Belladona 5CH, 3gr to give, hourly, during awakening phases, in 24h time.And Chamomilla 9CH for relieving pain, every 3 hoursfor long term : Arsenicum album 9CH, 3 granules per day during the whole winter time.Ferrum phosphoricum 5CH, 5 granules once a week"
OTITIS,,,,Otitis   is an ear infection and inflammation. It is a common illness in children. In the absence of alteration of the general state Pyrogenium 7 or 9 CH : 5 granules in the morning and in the evening during 1 week.In chronic infectious states  with suppuration : Pyrogenium 7 or 9 CH : 5 granules per day during 2 months.Congestive otitis  of viral origin : Ferrum Phos. 9CH 2 times per day until improvement.Early inflammation : Belladonna 9 CH  5 granules hourly.Burning sensation of the mucous membranes : Capsicum 5CH: 5 granules hourly.Complication of otitis : Chamomilla 15CH  5 granules every two hours.Then it must occur a quick improvement in the next 24-48 hours  if not  it is preferable to see a doctor for resorting to an appropriate antibiotic therapy.
OVERWORK,,,,Homeopathy proposes different types of treatments for preventing and treating physical or intellectual overwork. Silica 9 CH allows for example to adjust the pace of work  while Phosphoricum acidum 5 to 9 CH relieves any state of tiredness. Against the sleeping disorders and intellectual tiredness  Gelsemium 9 CH is prescribed. Ignatia 5 CH is the homeopathic remedy prescribed for treating intellectual overwork characterized by nervous disorders.
PAIN,MAGNESIA PHOSPHORICA 3X MIX IN VERY HOT WATER AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,"CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,FERRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.","FERRUM PHOSPHORICUM 12X,KALI SULPHURICUM 3X,CALCARIA SULPHURICUM 3X MIX AND TAKE.","MAGNESIA PHOSPHORICA 3X MIX IN VERY HOT WATER AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA PHOSPHORICA  3X OR 12X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,FERRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.,FERRUM PHOSPHORICUM 12X,KALI SULPHURICUM 3X,CALCARIA SULPHURICUM 3X MIX AND TAKE."
PAINFUL DIARRHEAS,,,,"5 granules to melt under the tongue more times a day, until symptoms dissapear. ALLIUM CEPA 5CH : colics with flatulence causing bending(especially after many greens) ASA FOETIDA 5CH : very liquid dark brown fetid stools, with colics and many gases. BORAX 5CH : frothy, light yellow, painful stools  CROTON TIGLIUM 5CH : sudden diarrhea. in jet, with the emission of yellow aqueous materials at one time DULCAMARA 5CH : green diarrhea occurring after suppression of an eruption, accompanied by peri-umbilical pains : it occurs especially after cold and wet wheather IPECA 5CH : green, frothy, often bloody stools ; accompanied by spasmodic pains and nausea (the tongue remains clean) JALAPA 5CH : watery, muddy, flatulent stools with irritation of the anus  MERCURIUS SOLUBILIS 5CH : greenish diarrhea with tenesmus worsened at night, fetid mucous stools, often mixed with blood. fetid breath, white tongue keeping the teeth mark. NITRICUM ACIDUM 5CH : green mucous stools, sometimes bloody, with pain in the anus during stool and persisting long after. PODOPHYLLUM 5CH : large, aqueous stools occurring early in the morning  with rumbling in the right part, before stool. RHEUM 5CH : brown diarrhea with sour odor and mucus, the child cries when he wants to have stool SENNA 5CH : yellow, sometimes green diarrhea with flatulence and acetone odor"
PAINFUL MENSTRUATION,,,,Sensation of heaviness backwards: Belladona 7CH. Pains aggravated by shaking : Belladona 7CH. Pains in the right ovary  Belladona 7CH. Pains in the left ovary : Lachesis 7CH.  Pains irradiating in all directions : Caulophyllum 7CH. Intolerable pains : Chamomilla 9CH.  Pains in the thighs  sacrum and pubis : Sabina 7CH. In the back : Senecio 9CH. With cold sweats : Veratrum Album 9CH. 
PAINFUL MENSTRUATIONS,,,,Menstruations are sometimes painful and vary in quantity according to women natural predispositions at each cycle. To stabilize the cycle and reduce intensity of the abdominal pain  taking Zincum m\u00e9tallicum 7 CH is strongly recommended during the menstruation period. Besides  during menstruation  the patient sometimes feels a tension in the abdomen and an unusual  heaviness in legs causing long-term varicose veins.
PAINLESS DIARRHEAS,,,,"ALOE 5CH : aqueous, mucous, fetid, yellow stools, sometimes involuntarily expelling gas, sphincter insecurity ANTIMONIUM CRUDUM 5CH : half solid, half liquid, granular, undigested diarrhea after overeating (coated tongue) CHINA 5CH : postprandial diarrhea with much gas, especially after eating fruit in hot wheather. FERRUM METALLICUM 5CH : stools with undigested materials in an anemic child. PULSATILLA 5CH : stools variable in colour and consistency, especially after eating pastries, icecream or fruit"
PALPITATION OF HEART,KALI PHOSPHORICUM 3X OR 12X IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 12X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,,"KALI PHOSPHORICUM 3X OR 12X IF REMEDY FAILS TRY REMEDY 2 ,CALCARIA FLOURIDE 12X CALCAREA PHOSPHORICA 3X FERRUM PHOSPHORICUM 3X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM 3X MAGNESIA PHOSPHORICA 3X NATRUM MURIATICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX AND TAKE ,"
PALPITATIONS,,,,Palpitations due to coffee : Nux Vomica 7CH  Coffea 5CH 5 granules at bedtime. Palpitation during digestion : Lycopodium 5CH 5 granules Due to fear and with sensation of imminent death : Aconit 9CH After an annoyance : Ignatia 9CH Palpitations with headaches : Spigelia 7CH Worsened by mouvement : Spigelia 7CH Worsened by speaking : Naja 7CH 
PARALYSIS,DAILY ONE DOSE OF KALI PHOSPHORICUM 200X.IF REMEDY FAILS TRY REMEDY 2.,"CALCARIA PHOSPHORICA   12X,CALCARIA SULPHURICUM 12X,KALI PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 12X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.",,"DAILY ONE DOSE OF KALI PHOSPHORICUM 200X.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA PHOSPHORICA   12X,CALCARIA SULPHURICUM 12X,KALI PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 12X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.,"
PELADE,,,,Pelade is a skin disease characterized by hair loss. Pelade is relatively frequent and recurrent  it is a hereditary disease.At wake-up : Thallium Acet. 5CH 5 granules. At lunchtime : Selenium 5CH 5 granules. At bedtime : Fluoric Acid. 5CH 5 granules.
PERMANENT STRESS,,,,With the help of homeopathy  the efficient treatment is determined according to the origin of stress.This way  for those with a sustained pace of life and with associated digestive disorders  taking Argentum nitricum is most appropriate. For those of a nervous nature  easily irritable  often tired and hyperactive  Phosphorus is the most indicated. Concerning Sepia  it is more appropriate for  perfectionist people with a very acute sense of duty  that are likely anxious. Ambra grisea is also efficient for treating stress causing a lack of confidence. For those who live in a pressure environment where frustrations are common  Ignatia is the most appropriate homeopathic remedy.
PHARYNGITIS,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.",TAKE CALCARIA SULPHURICUM 3X.,,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,TAKE CALCARIA SULPHURICUM 3X.,"
PHIMOSIS,TAKE NATRUM MURIATICUM 3X BY MIXING IN WATER.,,,TAKE NATRUM MURIATICUM 3X BY MIXING IN WATER.
PHLEGM-EXCCSSIVE,"KALI SULPHURICUM 3X ,SILICEA 12X MIX AND TAKE.",,,"KALI SULPHURICUM 3X ,SILICEA 12X MIX AND TAKE."
PHOTOPHIBA,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM MURIATICUM 3X,SILICEA 12X MIX AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM MURIATICUM 3X,SILICEA 12X MIX AND TAKE."
PHYSICAL ANXIETY,,,,Argentum Nitricum 9 CH is a good remedy when signs of severe anxiety are accompanied by diarrheas  severe pains  dizziness  fear of large spaces  agoraphobia  but also claustrophobia. Kalium carbonicum 9 CH is a good remedy against knotted stomach  while Aconitum Napellus is recommended in case of infections accompanied by severe fever. Phosphoricum Acidum is also a good remedy for treating fear of an upcoming event that is accompanied by heavy sweating. When anxiety is accompanied by a feeling of fainting  the most suitable remedy is Moschus.
PHYSICAL EXHAUSTION,,,,The appearance of different exhaustion symptoms can be avoided by taking remedies immediately after efforts. Taking one dose of Arnica 9 CH is prescribed after physical effort  and in order to speed up recovery  you can take up to 5 granules 5 times per day. In case of painful tiredness or muscle rigidity  taking  3 granules of Eupatorium 5 CH or of Rhus Tox 5 CH  two times a day  can avoid exhaustion. Finally  in case of severe sweating during effort or in case of appearance of symptoms such as diarrhea or vomiting  the patient has to take 1 dose of China 9 CH during 3 consecutive days  in the morning with 3 granules of China 4 CH.
PILES-BLEEDING OR BLIND,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS.",,,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM SULPHURICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE AT THE GAP OF 3-3 HOURS."
PLAGUE,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.","CALCARIA FLOURIDE 3X,MAGNESIA PHOSPHORICA 3X, CALCARIA SULPHURICUM 3X ,MIX AND TAKE.",,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X, KALI SULPHURICUM 3X ,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA FLOURIDE 3X,MAGNESIA PHOSPHORICA 3X, CALCARIA SULPHURICUM 3X ,MIX AND TAKE.,"
PLEURISY,"CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,NATRUM MURIATICUM 3X  MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.", CALCARIA SULPHURICUM 3X,,"CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,NATRUM MURIATICUM 3X  MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2., CALCARIA SULPHURICUM 3X,"
PNEUMOLOGICAL DISORDERS,,,,For treating dyspnea  it is recommended to take Hydrocyanicum acidum 9 CH in an amount of 5 granules hourly. In case the respiratory problems are severe  add to the treatment one dose of Carbo vegetabilis 15 CH one to two times a day. Apnea can be reduced by simultaneously using Hydrocyanicum acidum 15 CH and Opium 15 CH in an amount of 5 granules of each  every evening  at bedtime. Dry or productive coughs  with pains in the thorax  are treated with 5 granules of Hydrocyanicum acidum 9 CH in a dosage of 3 times per day. For the treatment of syncopes and coronary heart diseases  it is prescribed to take 5 granules of Hydrocyanicum acidum 9 CH also in a dosage of 3 times per day.
